number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_dropout,params_hidden_dim,params_lr,params_num_lstm_layers,params_weight_decay,state
0,3.3673768423165487,2026-05-01 10:27:19.232388,2026-05-01 10:44:05.833594,0 days 00:16:46.601206,0.2589831388824843,0.2872451500377948,1024,0.003285837945803848,2,3.122981785972415e-07,COMPLETE
1,3.0880009201681538,2026-05-01 10:44:05.836312,2026-05-01 11:00:51.901798,0 days 00:16:46.065486,0.3105213316307084,0.21476080469047656,1024,0.00041721686088225734,2,4.397600426942446e-06,COMPLETE
2,3.251244207856002,2026-05-01 11:00:51.904178,2026-05-01 11:16:45.721040,0 days 00:15:53.816862,0.2970818611855856,0.24457721797762821,256,0.004859072047520929,2,4.512892675518888e-05,COMPLETE
3,3.278559062131651,2026-05-01 11:16:45.723987,2026-05-01 11:33:16.854653,0 days 00:16:31.130666,0.18766324053988878,0.14202961713734943,1024,0.001944702069270924,2,1.540013613500241e-07,COMPLETE
4,4.431241730975497,2026-05-01 11:33:16.857022,2026-05-01 11:48:31.142421,0 days 00:15:14.285399,0.07886808362091131,0.10904380404057197,512,0.00016177048873579925,2,0.0007948270301315152,COMPLETE
5,3.750563304135754,2026-05-01 11:48:31.144891,2026-05-01 12:03:48.463665,0 days 00:15:17.318774,0.10965278169651388,0.21711916022065123,768,3.1970482044773774e-05,1,2.581148727151e-06,COMPLETE
6,4.181819646981112,2026-05-01 12:03:48.467616,2026-05-01 12:19:13.441947,0 days 00:15:24.974331,0.1360662244617348,0.12247676562003633,768,1.4187103708430422e-05,1,1.874726404848158e-07,COMPLETE
7,4.618860578840705,2026-05-01 12:19:13.444915,2026-05-01 12:35:32.951721,0 days 00:16:19.506806,0.4130712075527692,0.2451487141947213,512,1.008568305139114e-05,1,1.8788595767354213e-05,COMPLETE
8,3.348291605141512,2026-05-01 12:35:32.954226,2026-05-01 12:50:37.782273,0 days 00:15:04.828047,0.29440453592898885,0.130849870367722,512,0.0001334914503302701,1,2.0984582159606796e-07,COMPLETE
9,3.679786827913515,2026-05-01 12:50:37.785310,2026-05-01 13:05:36.672879,0 days 00:14:58.887569,0.2468906021778856,0.2032360058209899,512,5.495204622021156e-05,1,7.066091963810859e-06,COMPLETE
10,3.2946925527730566,2026-05-01 13:05:36.675202,2026-05-01 13:20:42.019583,0 days 00:15:05.344381,0.4977888132522613,0.1663482845948032,384,0.000752095946241469,2,0.00020290883998766752,COMPLETE
11,3.307614709161649,2026-05-01 13:20:42.021926,2026-05-01 13:35:50.658296,0 days 00:15:08.636370,0.3525517455705991,0.25165452933178695,256,0.0005301257565676258,2,4.2097901578311194e-05,COMPLETE
12,3.4048963519418316,2026-05-01 13:35:50.661311,2026-05-01 13:50:44.473524,0 days 00:14:53.812213,0.34968174073731595,0.23736890526990911,256,0.004872041322219498,2,1.8115575670345901e-06,COMPLETE
13,3.134770337183764,2026-05-01 13:50:44.476071,2026-05-01 14:07:45.178828,0 days 00:17:00.702757,0.3530491013898889,0.28590398761254754,1024,0.0006783031535219999,2,7.880517665562921e-05,COMPLETE
14,3.209236445700287,2026-05-01 14:07:45.182094,2026-05-01 14:24:16.986426,0 days 00:16:31.804332,0.43906441262807994,0.2942039482248247,1024,0.00039578151500273875,2,0.00016042176216192036,COMPLETE
15,3.2050740794771038,2026-05-01 14:24:16.989069,2026-05-01 14:40:52.741679,0 days 00:16:35.752610,0.38420801110886554,0.18054502597014813,1024,0.0016163608065085501,2,2.3521563742903075e-06,COMPLETE
16,3.1153498561518966,2026-05-01 14:40:52.744011,2026-05-01 14:57:18.566588,0 days 00:16:25.822577,0.2016318351412334,0.272268842046298,1024,0.0009554216030278053,2,9.055001988767353e-06,COMPLETE
17,3.3718202296335984,2026-05-01 14:57:18.568732,2026-05-01 15:12:48.864563,0 days 00:15:30.295831,0.1753974357124851,0.262301696333141,384,0.00022968093140168954,2,7.478089945414714e-06,COMPLETE
18,3.188753647409427,2026-05-01 15:12:48.867816,2026-05-01 15:29:45.706540,0 days 00:16:56.838724,0.2105428598827601,0.2161165976065121,1024,0.0014108862028238752,2,5.690139640332522e-07,COMPLETE
19,3.3178523786508354,2026-05-01 15:29:45.709228,2026-05-01 15:46:22.880896,0 days 00:16:37.171668,0.05129213395772411,0.2722435615174829,1024,8.06558330704525e-05,2,1.277610250672277e-06,COMPLETE
